table_a	table_b	pearson_r	top10_abs_frac_diff
kazusa	refseq_GCF_000002855.4	0.99989005	ACC:0.000299;AAC:0.000296;GGC:0.000249;TAC:0.000241;GGT:0.000215;GCC:0.000206;GAA:0.000205;GTC:0.000186;GAC:0.000171;ATC:0.000163
kazusa	genbank_GCA_000230395.2	0.99844028	GAG:0.001305;AGA:0.001285;GCC:0.001272;ATC:0.001190;TTC:0.001155;AAG:0.001111;CCA:0.001013;AGG:0.000977;CTC:0.000927;CTG:0.000919
kazusa	hivecuts	0.99989005	ACC:0.000299;AAC:0.000296;GGC:0.000249;TAC:0.000241;GGT:0.000215;GCC:0.000206;GAA:0.000205;GTC:0.000186;GAC:0.000171;ATC:0.000163
refseq_GCF_000002855.4	genbank_GCA_000230395.2	0.99786535	GCC:0.001478;AGA:0.001401;ATC:0.001353;TTC:0.001303;GAG:0.001299;CCA:0.001176;AAG:0.001164;GTC:0.001093;AGG:0.001082;TCA:0.001040
refseq_GCF_000002855.4	hivecuts	1.0	AAA:0.000000;AAC:0.000000;AAG:0.000000;AAT:0.000000;ACA:0.000000;ACC:0.000000;ACG:0.000000;ACT:0.000000;AGA:0.000000;AGC:0.000000
genbank_GCA_000230395.2	hivecuts	0.99786535	GCC:0.001478;AGA:0.001401;ATC:0.001353;TTC:0.001303;GAG:0.001299;CCA:0.001176;AAG:0.001164;GTC:0.001093;AGG:0.001082;TCA:0.001040
